day,price_usd,daily_return,rolling_vol_7d
2024-09-28,2675.21,-0.007133234116306508,0.02039495325655063
2024-09-29,2657.62,-0.00657518475185126,0.019796007095050146
2024-09-30,2602.23,-0.020841956336872802,0.019274427572395454
2024-10-01,2447.79,-0.059349096736260876,0.028639744251792297
2024-10-02,2364.1,-0.03419002447105346,0.02937122477318107
2024-10-03,2349.8,-0.006048813501966843,0.02604243356808315
2024-10-04,2414.41,0.027495957102732005,0.02704236235296814
2024-10-05,2414.66,0.00010354496543674152,0.027537494076808857
2024-10-06,2440.03,0.01050665518126781,0.029041652576468516
2024-10-07,2422.71,-0.007098273381884734,0.02878884568378716
2024-10-08,2440.89,0.007503993461867031,0.019053623655767193
2024-10-09,2370.47,-0.028850132533625117,0.017512743566248712
2024-10-10,2386.49,0.006758153446362991,0.017381073128367727
2024-10-11,2439.5,0.022212538078936195,0.016180122840214563
2024-10-12,2476.4,0.015126050420168013,0.016928901184882213
2024-10-13,2468.91,-0.0030245517686965373,0.01679910831305799
2024-10-14,2629.79,0.06516235909773949,0.02852587512764144
2024-10-15,2607.41,-0.008510185223915223,0.02958106253037577
2024-10-16,2611.1,0.0014151974564797776,0.024810886869986747
2024-10-17,2605.8,-0.0020297958714716735,0.0254617992897992
2024-10-18,2642.17,0.013957325965154643,0.025148227709153176
2024-10-19,2648.2,0.002282214997520793,0.025326900771289688
2024-10-20,2746.91,0.03727437504720199,0.02645615699011079
2024-10-21,2666.7,-0.029200083002355437,0.020361840409507618
2024-10-22,2622.81,-0.016458544268196595,0.021258552058801245
2024-10-23,2524.61,-0.03744076010080788,0.025742520921482177
2024-10-24,2535.82,0.004440289787333462,0.025961907894125138
2024-10-25,2440.62,-0.03754209683652632,0.027416091541411274
2024-10-26,2482.51,0.017163671526087665,0.029136116484587138
2024-10-27,2507.8,0.010187270141912785,0.02318429630777838
2024-10-28,2567.48,0.023797751016827462,0.025439131475707137
2024-10-29,2638.8,0.02777821054107532,0.02755971489660966
2024-10-30,2659.19,0.00772699711990299,0.021662087434918802
2024-10-31,2518.61,-0.052865722268811144,0.03161808819980526
2024-11-01,2511.49,-0.0028269561385051434,0.027269868346312023
2024-11-02,2494.23,-0.006872414383493397,0.026909119180778644
2024-11-03,2457.73,-0.014633774752127904,0.027129535557762777
2024-11-04,2398.21,-0.024217468965264666,0.025368497514457123
2024-11-05,2422.55,0.010149236305411202,0.021665488344023032
2024-11-06,2721.87,0.12355575736310898,0.05608139163225096
2024-11-07,2895.47,0.06377968088115882,0.05342279459271772
2024-11-08,2961.75,0.022890929624551415,0.05236271441265921
2024-11-09,3126.21,0.05552798176753604,0.05134390078743949
2024-11-10,3183.21,0.018232940205552328,0.047530892951014425
2024-11-11,3371.59,0.059179256159662685,0.038828054492062405
2024-11-12,3243.8,-0.03790199876022882,0.04983315688819237
2024-11-13,3187.16,-0.017461002527899505,0.03957559560769208
2024-11-14,3058.82,-0.04026782464639356,0.04140691741744655
2024-11-15,3090.01,0.01019674253470293,0.04095220071129031
2024-11-16,3132.87,0.013870505273445577,0.035329515858399066
2024-11-17,3076.0,-0.01815268427990946,0.03501856428215985
2024-11-18,3207.8,0.04284785435630689,0.030306660585227345
2024-11-19,3107.44,-0.031286239790510706,0.029256247737879104
2024-11-20,3069.97,-0.012058157196921049,0.02896563320309665
2024-11-21,3355.81,0.09310840171076595,0.042560635269014484
2024-11-22,3327.78,-0.008352677892967675,0.04341132535216206
2024-11-23,3393.91,0.019872106930145517,0.04352677929735284
2024-11-24,3361.2,-0.00963785132781958,0.04264450782901777
2024-11-25,3414.49,0.015854456741639877,0.04072556250955247
2024-11-26,3324.73,-0.02628796687060142,0.039924288286575696
2024-11-27,3653.28,0.09882005456082155,0.05021736878273404
2024-11-28,3578.79,-0.020389896202864355,0.04278543649068209
2024-11-29,3592.21,0.0037498707663763398,0.042161003578527916
